date,fng_value,fng_classification
2022-05-07,19,Extreme Fear
2022-05-06,10,Extreme Fear
2022-05-05,27,Fear
2022-05-04,53,Neutral
2022-05-03,22,Extreme Fear
2022-05-02,33,Fear
2022-05-01,24,Extreme Fear
2022-04-12,26,Fear
2022-04-11,30,Fear
2022-04-10,20,Extreme Fear
2022-04-09,20,Extreme Fear
2022-04-08,30,Fear
2022-04-07,14,Extreme Fear
2022-04-06,14,Extreme Fear
2022-04-05,21,Extreme Fear
2022-04-04,52,Neutral
2022-04-03,33,Fear
2022-04-02,20,Extreme Fear
2022-04-01,23,Extreme Fear
2022-03-12,27,Fear
2022-03-11,30,Fear
2022-03-10,24,Extreme Fear
2022-03-09,21,Extreme Fear
2022-03-08,34,Fear
2022-03-07,11,Extreme Fear
2022-03-06,10,Extreme Fear
2022-03-05,27,Fear
2022-03-04,48,Neutral
2022-03-03,39,Fear
2022-03-02,20,Extreme Fear
2022-03-01,29,Fear
2022-02-12,27,Fear
2022-02-11,30,Fear
2022-02-10,24,Extreme Fear
2022-02-09,25,Extreme Fear
2022-02-08,31,Fear
2022-02-07,14,Extreme Fear
2022-02-06,13,Extreme Fear
2022-02-05,28,Fear
2022-02-04,52,Neutral
2022-02-03,52,Neutral
2022-02-02,28,Fear
2022-02-01,29,Fear
2022-01-12,27,Fear
2022-01-11,30,Fear
2022-01-10,20,Extreme Fear
2022-01-09,20,Extreme Fear
2022-01-08,33,Fear
2022-01-07,11,Extreme Fear
2022-01-06,17,Extreme Fear
2022-01-05,22,Extreme Fear
2022-01-04,50,Neutral
2022-01-03,51,Neutral
2022-01-02,26,Fear
2022-01-01,21,Extreme Fear
2021-12-12,27,Fear
2021-12-11,74,Greed
2021-12-10,78,Extreme Greed
2021-12-09,32,Fear
2021-12-08,70,Greed
2021-12-07,25,Extreme Fear
2021-12-06,28,Fear
2021-12-05,68,Greed
2021-12-04,74,Greed
2021-12-03,70,Greed
2021-12-02,92,Extreme Greed
2021-12-01,84,Extreme Greed
2021-11-12,16,Extreme Fear
2021-11-11,77,Extreme Greed
2021-11-10,71,Greed
2021-11-09,31,Fear
2021-11-08,70,Greed
2021-11-07,20,Extreme Fear
2021-11-06,21,Extreme Fear
2021-11-05,61,Greed
2021-11-04,76,Extreme Greed
2021-11-03,73,Greed
2021-11-02,93,Extreme Greed
2021-11-01,90,Extreme Greed
2021-10-12,24,Extreme Fear
2021-10-11,75,Greed
2021-10-10,71,Greed
2021-10-09,46,Fear
2021-10-08,71,Greed
2021-10-07,20,Extreme Fear
2021-10-06,21,Extreme Fear
2021-10-05,72,Greed
2021-10-04,70,Greed
2021-10-03,68,Greed
2021-10-02,92,Extreme Greed
2021-10-01,94,Extreme Greed
2021-09-12,29,Fear
2021-09-11,84,Extreme Greed
2021-09-10,72,Greed
2021-09-09,45,Fear
2021-09-08,65,Greed
2021-09-07,20,Extreme Fear
2021-09-06,14,Extreme Fear
2021-09-05,73,Greed
2021-09-04,70,Greed
2021-09-03,81,Extreme Greed
2021-09-02,95,Extreme Greed
2021-09-01,93,Extreme Greed
2021-08-12,28,Fear
2021-08-11,75,Greed
2021-08-10,74,Greed
2021-08-09,47,Neutral
2021-08-08,74,Greed
2021-08-07,20,Extreme Fear
2021-08-06,13,Extreme Fear
2021-08-05,67,Greed
2021-08-04,73,Greed
2021-08-03,81,Extreme Greed
2021-08-02,83,Extreme Greed
2021-08-01,93,Extreme Greed
2021-07-12,25,Extreme Fear
2021-07-11,73,Greed
2021-07-10,76,Extreme Greed
2021-07-09,79,Extreme Greed
2021-07-08,69,Greed
2021-07-07,28,Fear
2021-07-06,15,Extreme Fear
2021-07-05,64,Greed
2021-07-04,72,Greed
2021-07-03,76,Extreme Greed
2021-07-02,86,Extreme Greed
2021-07-01,91,Extreme Greed
2021-06-12,16,Extreme Fear
2021-06-11,71,Greed
2021-06-10,68,Greed
2021-06-09,79,Extreme Greed
2021-06-08,52,Neutral
2021-06-07,20,Extreme Fear
2021-06-06,17,Extreme Fear
2021-06-05,65,Greed
2021-06-04,75,Greed
2021-06-03,77,Extreme Greed
2021-06-02,84,Extreme Greed
2021-06-01,95,Extreme Greed
2021-05-12,18,Extreme Fear
2021-05-11,73,Greed
2021-05-10,59,Greed
2021-05-09,73,Greed
2021-05-08,50,Neutral
2021-05-07,29,Fear
2021-05-06,24,Extreme Fear
2021-05-05,48,Neutral
2021-05-04,71,Greed
2021-05-03,77,Extreme Greed
2021-05-02,81,Extreme Greed
2021-05-01,93,Extreme Greed
2021-04-12,25,Extreme Fear
2021-04-11,73,Greed
2021-04-10,54,Neutral
2021-04-09,72,Greed
2021-04-08,42,Fear
2021-04-07,27,Fear
2021-04-06,27,Fear
2021-04-05,68,Greed
2021-04-04,74,Greed
2021-04-03,84,Extreme Greed
2021-04-02,80,Extreme Greed
2021-04-01,94,Extreme Greed
2021-03-12,31,Fear
2021-03-11,76,Extreme Greed
2021-03-10,49,Neutral
2021-03-09,74,Greed
2021-03-08,48,Neutral
2021-03-07,24,Extreme Fear
2021-03-06,24,Extreme Fear
2021-03-05,61,Greed
2021-03-04,73,Greed
2021-03-03,78,Extreme Greed
2021-03-02,78,Extreme Greed
2021-03-01,93,Extreme Greed
2021-02-12,32,Fear
2021-02-11,73,Greed
2021-02-10,54,Neutral
2021-02-09,74,Greed
2021-02-08,48,Neutral
2021-02-07,21,Extreme Fear
2021-02-06,23,Extreme Fear
2021-02-05,66,Greed
2021-02-04,74,Greed
2021-02-03,78,Extreme Greed
2021-02-02,76,Extreme Greed
2021-02-01,94,Extreme Greed
2021-01-12,34,Fear
2021-01-11,74,Greed
2021-01-10,27,Fear
2021-01-09,71,Greed
2021-01-08,60,Greed
2021-01-07,28,Fear
2021-01-06,20,Extreme Fear
2021-01-05,68,Greed
2021-01-04,74,Greed
2021-01-03,38,Fear
2021-01-02,77,Extreme Greed
2021-01-01,94,Extreme Greed
2020-12-12,90,Extreme Greed
2020-12-11,87,Extreme Greed
2020-12-10,52,Neutral
2020-12-09,41,Fear
2020-12-08,75,Greed
2020-12-07,41,Fear
2020-12-06,38,Fear
2020-12-05,39,Fear
2020-12-04,10,Extreme Fear
2020-12-03,14,Extreme Fear
2020-12-02,61,Greed
2020-12-01,45,Fear
2020-11-12,89,Extreme Greed
2020-11-11,86,Extreme Greed
2020-11-10,55,Greed
2020-11-09,41,Fear
2020-11-08,84,Extreme Greed
2020-11-07,44,Fear
2020-11-06,52,Neutral
2020-11-05,40,Fear
2020-11-04,15,Extreme Fear
2020-11-03,17,Extreme Fear
2020-11-02,52,Neutral
2020-11-01,50,Neutral
2020-10-12,94,Extreme Greed
2020-10-11,90,Extreme Greed
2020-10-10,53,Neutral
2020-10-09,38,Fear
2020-10-08,78,Extreme Greed
2020-10-07,41,Fear
2020-10-06,54,Neutral
2020-10-05,48,Neutral
2020-10-04,15,Extreme Fear
2020-10-03,16,Extreme Fear
2020-10-02,57,Greed
2020-10-01,41,Fear
2020-09-12,86,Extreme Greed
2020-09-11,90,Extreme Greed
2020-09-10,48,Neutral
2020-09-09,38,Fear
2020-09-08,79,Extreme Greed
2020-09-07,44,Fear
2020-09-06,52,Neutral
2020-09-05,56,Greed
2020-09-04,22,Extreme Fear
2020-09-03,17,Extreme Fear
2020-09-02,56,Greed
2020-09-01,44,Fear
2020-08-12,95,Extreme Greed
2020-08-11,82,Extreme Greed
2020-08-10,46,Fear
2020-08-09,41,Fear
2020-08-08,77,Extreme Greed
2020-08-07,44,Fear
2020-08-06,53,Neutral
2020-08-05,55,Greed
2020-08-04,21,Extreme Fear
2020-08-03,33,Fear
2020-08-02,56,Greed
2020-08-01,51,Neutral
2020-07-12,94,Extreme Greed
2020-07-11,88,Extreme Greed
2020-07-10,43,Fear
2020-07-09,41,Fear
2020-07-08,77,Extreme Greed
2020-07-07,43,Fear
2020-07-06,54,Neutral
2020-07-05,49,Neutral
2020-07-04,20,Extreme Fear
2020-07-03,38,Fear
2020-07-02,56,Greed
2020-07-01,40,Fear
2020-06-12,95,Extreme Greed
2020-06-11,90,Extreme Greed
2020-06-10,47,Neutral
2020-06-09,41,Fear
2020-06-08,79,Extreme Greed
2020-06-07,40,Fear
2020-06-06,54,Neutral
2020-06-05,42,Fear
2020-06-04,12,Extreme Fear
2020-06-03,39,Fear
2020-06-02,61,Greed
2020-06-01,41,Fear
2020-05-12,93,Extreme Greed
2020-05-11,72,Greed
2020-05-10,42,Fear
2020-05-09,41,Fear
2020-05-08,75,Greed
2020-05-07,38,Fear
2020-05-06,53,Neutral
2020-05-05,40,Fear
2020-05-04,12,Extreme Fear
2020-05-03,41,Fear
2020-05-02,53,Neutral
2020-05-01,39,Fear
2020-04-12,92,Extreme Greed
2020-04-11,74,Greed
2020-04-10,42,Fear
2020-04-09,40,Fear
2020-04-08,72,Greed
2020-04-07,40,Fear
2020-04-06,54,Neutral
2020-04-05,44,Fear
2020-04-04,12,Extreme Fear
2020-04-03,40,Fear
2020-04-02,56,Greed
2020-04-01,38,Fear
2020-03-12,92,Extreme Greed
2020-03-11,71,Greed
2020-03-10,40,Fear
2020-03-09,79,Extreme Greed
2020-03-08,75,Greed
2020-03-07,41,Fear
2020-03-06,48,Neutral
2020-03-05,45,Fear
2020-03-04,14,Extreme Fear
2020-03-03,38,Fear
2020-03-02,59,Greed
2020-03-01,38,Fear
2020-02-12,92,Extreme Greed
2020-02-11,71,Greed
2020-02-10,41,Fear
2020-02-09,83,Extreme Greed
2020-02-08,80,Extreme Greed
2020-02-07,42,Fear
2020-02-06,56,Greed
2020-02-05,40,Fear
2020-02-04,14,Extreme Fear
2020-02-03,38,Fear
2020-02-02,57,Greed
2020-02-01,39,Fear
2020-01-12,95,Extreme Greed
2020-01-11,72,Greed
2020-01-10,45,Fear
2020-01-09,75,Greed
2020-01-08,75,Greed
2020-01-07,42,Fear
2020-01-06,50,Neutral
2020-01-05,40,Fear
2020-01-04,12,Extreme Fear
2020-01-03,39,Fear
2020-01-02,57,Greed
2020-01-01,37,Fear
2019-12-12,23,Extreme Fear
2019-12-11,39,Fear
2019-12-10,38,Fear
2019-12-09,39,Fear
2019-12-08,48,Neutral
2019-12-07,33,Fear
2019-12-06,60,Greed
2019-12-05,75,Greed
2019-12-04,42,Fear
2019-12-03,56,Greed
2019-12-02,38,Fear
2019-12-01,22,Extreme Fear
2019-11-12,20,Extreme Fear
2019-11-11,40,Fear
2019-11-10,39,Fear
2019-11-09,38,Fear
2019-11-08,45,Fear
2019-11-07,62,Greed
2019-11-06,61,Greed
2019-11-05,76,Extreme Greed
2019-11-04,65,Greed
2019-11-03,56,Greed
2019-11-02,46,Fear
2019-11-01,19,Extreme Fear
2019-10-12,26,Fear
2019-10-11,39,Fear
2019-10-10,41,Fear
2019-10-09,41,Fear
2019-10-08,59,Greed
2019-10-07,83,Extreme Greed
2019-10-06,46,Fear
2019-10-05,71,Greed
2019-10-04,62,Greed
2019-10-03,55,Greed
2019-10-02,40,Fear
2019-10-01,37,Fear
2019-09-12,32,Fear
2019-09-11,38,Fear
2019-09-10,37,Fear
2019-09-09,41,Fear
2019-09-08,60,Greed
2019-09-07,84,Extreme Greed
2019-09-06,62,Greed
2019-09-05,69,Greed
2019-09-04,64,Greed
2019-09-03,55,Greed
2019-09-02,42,Fear
2019-09-01,42,Fear
2019-08-12,28,Fear
2019-08-11,42,Fear
2019-08-10,39,Fear
2019-08-09,43,Fear
2019-08-08,61,Greed
2019-08-07,74,Greed
2019-08-06,62,Greed
2019-08-05,63,Greed
2019-08-04,65,Greed
2019-08-03,54,Neutral
2019-08-02,37,Fear
2019-08-01,39,Fear
2019-07-12,32,Fear
2019-07-11,54,Neutral
2019-07-10,27,Fear
2019-07-09,39,Fear
2019-07-08,45,Fear
2019-07-07,67,Greed
2019-07-06,27,Fear
2019-07-05,69,Greed
2019-07-04,69,Greed
2019-07-03,56,Greed
2019-07-02,18,Extreme Fear
2019-07-01,39,Fear
2019-06-12,29,Fear
2019-06-11,53,Neutral
2019-06-10,32,Fear
2019-06-09,43,Fear
2019-06-08,66,Greed
2019-06-07,72,Greed
2019-06-06,34,Fear
2019-06-05,57,Greed
2019-06-04,65,Greed
2019-06-03,42,Fear
2019-06-02,14,Extreme Fear
2019-06-01,31,Fear
2019-05-12,21,Extreme Fear
2019-05-11,54,Neutral
2019-05-10,31,Fear
2019-05-09,41,Fear
2019-05-08,64,Greed
2019-05-07,67,Greed
2019-05-06,27,Fear
2019-05-05,67,Greed
2019-05-04,59,Greed
2019-05-03,35,Fear
2019-05-02,21,Extreme Fear
2019-05-01,36,Fear
2019-04-12,24,Extreme Fear
2019-04-11,49,Neutral
2019-04-10,30,Fear
2019-04-09,43,Fear
2019-04-08,62,Greed
2019-04-07,76,Extreme Greed
2019-04-06,42,Fear
2019-04-05,66,Greed
2019-04-04,61,Greed
2019-04-03,36,Fear
2019-04-02,27,Fear
2019-04-01,48,Neutral
2019-03-12,28,Fear
2019-03-11,56,Greed
2019-03-10,37,Fear
2019-03-09,41,Fear
2019-03-08,61,Greed
2019-03-07,79,Extreme Greed
2019-03-06,66,Greed
2019-03-05,63,Greed
2019-03-04,71,Greed
2019-03-03,44,Fear
2019-03-02,19,Extreme Fear
2019-03-01,33,Fear
2019-02-12,28,Fear
2019-02-11,51,Neutral
2019-02-10,39,Fear
2019-02-09,28,Fear
2019-02-08,61,Greed
2019-02-07,63,Greed
2019-02-06,63,Greed
2019-02-05,50,Neutral
2019-02-04,60,Greed
2019-02-03,41,Fear
2019-02-02,22,Extreme Fear
2019-02-01,30,Fear
2019-01-12,25,Extreme Fear
2019-01-11,49,Neutral
2019-01-10,38,Fear
2019-01-09,24,Extreme Fear
2019-01-08,57,Greed
2019-01-07,65,Greed
2019-01-06,62,Greed
2019-01-05,51,Neutral
2019-01-04,62,Greed
2019-01-03,42,Fear
2019-01-02,23,Extreme Fear
2019-01-01,24,Extreme Fear
2018-12-12,14,Extreme Fear
2018-12-11,52,Neutral
2018-12-10,13,Extreme Fear
2018-12-09,14,Extreme Fear
2018-12-08,18,Extreme Fear
2018-12-07,33,Fear
2018-12-06,19,Extreme Fear
2018-12-05,44,Fear
2018-12-04,18,Extreme Fear
2018-12-03,41,Fear
2018-12-02,42,Fear
2018-11-12,15,Extreme Fear
2018-11-11,54,Neutral
2018-11-10,19,Extreme Fear
2018-11-09,18,Extreme Fear
2018-11-08,18,Extreme Fear
2018-11-07,29,Fear
2018-11-06,15,Extreme Fear
2018-11-05,41,Fear
2018-11-04,20,Extreme Fear
2018-11-03,40,Fear
2018-11-02,31,Fear
2018-10-12,19,Extreme Fear
2018-10-11,52,Neutral
2018-10-10,28,Fear
2018-10-09,15,Extreme Fear
2018-10-08,21,Extreme Fear
2018-10-07,37,Fear
2018-10-06,24,Extreme Fear
2018-10-05,63,Greed
2018-10-04,18,Extreme Fear
2018-10-03,39,Fear
2018-10-02,54,Neutral
2018-09-12,14,Extreme Fear
2018-09-11,47,Neutral
2018-09-10,31,Fear
2018-09-09,13,Extreme Fear
2018-09-08,19,Extreme Fear
2018-09-07,39,Fear
2018-09-06,39,Fear
2018-09-05,53,Neutral
2018-09-04,21,Extreme Fear
2018-09-03,37,Fear
2018-09-02,44,Fear
2018-08-12,11,Extreme Fear
2018-08-11,51,Neutral
2018-08-10,26,Fear
2018-08-09,18,Extreme Fear
2018-08-08,23,Extreme Fear
2018-08-07,38,Fear
2018-08-06,40,Fear
2018-08-05,62,Greed
2018-08-04,17,Extreme Fear
2018-08-03,39,Fear
2018-08-02,30,Fear
2018-07-12,11,Extreme Fear
2018-07-11,48,Neutral
2018-07-10,29,Fear
2018-07-09,17,Extreme Fear
2018-07-08,25,Extreme Fear
2018-07-07,34,Fear
2018-07-06,38,Fear
2018-07-05,56,Greed
2018-07-04,20,Extreme Fear
2018-07-03,37,Fear
2018-07-02,36,Fear
2018-06-12,13,Extreme Fear
2018-06-11,42,Fear
2018-06-10,34,Fear
2018-06-09,14,Extreme Fear
2018-06-08,25,Extreme Fear
2018-06-07,34,Fear
2018-06-06,42,Fear
2018-06-05,67,Greed
2018-06-04,19,Extreme Fear
2018-06-03,59,Greed
2018-06-02,8,Extreme Fear
2018-05-12,19,Extreme Fear
2018-05-11,42,Fear
2018-05-10,37,Fear
2018-05-09,17,Extreme Fear
2018-05-08,23,Extreme Fear
2018-05-07,37,Fear
2018-05-06,26,Fear
2018-05-05,63,Greed
2018-05-04,17,Extreme Fear
2018-05-03,55,Greed
2018-05-02,11,Extreme Fear
2018-04-12,12,Extreme Fear
2018-04-11,41,Fear
2018-04-10,29,Fear
2018-04-09,26,Fear
2018-04-08,31,Fear
2018-04-07,33,Fear
2018-04-06,41,Fear
2018-04-05,56,Greed
2018-04-04,22,Extreme Fear
2018-04-03,44,Fear
2018-04-02,24,Extreme Fear
2018-03-12,17,Extreme Fear
2018-03-11,36,Fear
2018-03-10,36,Fear
2018-03-09,19,Extreme Fear
2018-03-08,36,Fear
2018-03-07,31,Fear
2018-03-06,40,Fear
2018-03-05,55,Greed
2018-03-04,22,Extreme Fear
2018-03-03,56,Greed
2018-03-02,40,Fear
2018-02-12,15,Extreme Fear
2018-02-11,36,Fear
2018-02-10,33,Fear
2018-02-09,18,Extreme Fear
2018-02-08,39,Fear
2018-02-07,27,Fear
2018-02-06,27,Fear
2018-02-05,52,Neutral
2018-02-04,11,Extreme Fear
2018-02-03,47,Neutral
2018-02-02,15,Extreme Fear
2018-01-12,13,Extreme Fear
2018-01-11,29,Fear
2018-01-10,35,Fear
2018-01-09,21,Extreme Fear
2018-01-08,39,Fear
2018-01-07,27,Fear
2018-01-06,24,Extreme Fear
2018-01-05,56,Greed
2018-01-04,16,Extreme Fear
2018-01-03,38,Fear
2018-01-02,30,Fear
